pond cross id treatment sex sl bd region size resid
wild lim 2 wild F 3.644750245 NA olf_size 3.76588334429009 -26.0985102581745
wild lim 1 wild F 3.393561003 NA olf_size 3.38328398439433 -9.09141099287218
wild lim 13 wild F 3.537102739 NA tele_size 38.7260279949171 0.266082270755806
wild lim 15 wild M 3.93897024 NA tele_size 54.8690292116157 0.953002596628085
wild lim 14 wild M 4.480141066 NA tele_size 59.6921768111938 -0.738836598834701
wild lim 13 wild M 4.635882716 NA tele_size 68.720522055752 -0.357068536956873
wild lim 12 wild M 4.455497994 NA tele_size 66.7222877208457 -0.0105888836808999
wild lim 11 wild M 4.333571975 NA tele_size 61.8886337727442 -0.869753751664041
wild ben 10 wild M 5.474333333 NA tele_size 73.5148517685486 -1.02875506526658
wild ben 9 wild M 5.481980769 NA tele_size 71.2764694967861 0.678138947621906
wild ben 8 wild M 5.135423543 NA tele_size 90.5866355996662 1.14787385714186
wild ben 7 wild M 4.888881203 NA tele_size 58.1868081975635 -1.35736926328786
wild ben 6 wild M 5.137254902 NA tele_size 64.6232176316012 0.224565287246487
wild ben 1 wild F 4.836800444 NA tele_size 48.8469232208308 2.51365649122808
wild ben 2 wild F 5.336580247 NA tele_size 65.8491116895427 2.57056934572808
wild ben 3 wild F 5.105316831 NA tele_size 53.9688065210582 0.801311593622809
wild ben 4 wild F 5.036203619 NA tele_size 59.0602339671417 1.463854490678
wild ben 5 wild F 6.699401239 NA tele_size 102.896444783041 -1.23811044450162
wild ben 6 wild F 5.773233918 NA tele_size 64.686975285362 -0.649615798337052
wild ben 8 wild F 5.637868852 NA tele_size 63.7632598605212 0.610211087174541
wild ben 9 wild F 6.335516084 NA tele_size 81.836993247927 -0.944469084729111
wild ben 10 wild F 6.385271776 NA tele_size 62.5757178032742 -0.0829201741626132
wild ben 11 wild M 5.271157576 NA tele_size 68.6404560713616 0.820743530238358
wild ben 12 wild M 4.632543426 NA tele_size 69.2279454417016 0.704110276144564
wild ben 13 wild M 7.328276042 NA tele_size 97.7356708000502 -0.441816888524928
wild ben 14 wild M 6.638488506 NA tele_size 102.838066989535 1.02822478408014
wild ben 15 wild M 4.925301075 NA tele_size 65.8508179437294 -1.45526523854207
wild ben 11 wild F 6.497584906 NA tele_size 73.8329147243353 -0.153257401911555
wild ben 12 wild F 5.906647059 NA tele_size 67.5403167003982 -0.259535494651785
wild ben 13 wild F 5.346025418 NA tele_size 59.6971735791882 -1.31664807628229
wild ben 14 wild F 5.086246493 NA tele_size 48.3934525810557 -1.58689450839447
wild ben 5 wild M 5.310410318 NA tele_size 77.3367613962222 0.894362821002537
wild ben 4 wild M 5.577535981 NA tele_size 73.9074604421811 -0.642221252528136
wild ben 3 wild M 5.258956989 NA tele_size 86.5895621703766 -1.19799438030506
wild ben 2 wild M 4.951081581 NA tele_size 91.4133840778709 0.366237293767635
wild ben 1 wild M 5.202161111 NA tele_size 92.6824772899654 0.637109961460885
wild lim 10 wild M 3.925218533 NA tele_size 52.6126311756284 -0.643332920809819
wild lim 9 wild M 4.399894459 NA tele_size 57.4378784537616 -1.20493825381783
wild lim 8 wild M 4.37239373 NA tele_size 83.4893546224627 0.973656939768198
wild lim 6 wild M 4.384529004 NA tele_size 66.6335554920605 0.200035030764717
wild lim 5 wild M 4.57525136 NA tele_size 75.9403430268071 0.792162194723332
wild lim 4 wild M 4.436994527 NA tele_size 81.8573185269963 0.616207434725619
wild lim 3 wild M 4.122621434 NA tele_size 50.2590742498176 0.954176966962238
wild lim 2 wild M 4.888989418 NA tele_size 67.2632014594769 1.04031751652476
wild lim 1 wild M 4.193264706 NA tele_size 54.5518628747 0.352150179923714
wild lim 10 wild F 4.086905595 NA tele_size 46.349738516707 -1.57651195606055
wild lim 9 wild F 4.42434314 NA tele_size 62.7567288921853 -0.948872991247985
wild lim 7 wild F 2.863013072 NA tele_size 58.0350578239943 -0.831883389124459
wild lim 6 wild F 3.784634463 NA tele_size 42.4506589524303 -1.41897345451682
wild lim 3 wild F 3.440630634 NA tele_size 41.9391956783791 0.252160755376023
wild lim 2 wild F 3.644750245 NA tele_size 50.77087435327 0.176668418387243
wild lim 1 wild F 3.393561003 NA tele_size 34.6049221050791 -0.0819562635365136
wild lim 13 wild F 3.537102739 NA optic_size 74.5774384536575 -2.04471430905558
wild lim 15 wild M 3.93897024 NA optic_size 92.8685246726135 7.4838028804479
wild lim 14 wild M 4.480141066 NA optic_size 106.68767673886 9.50292954590716
wild lim 13 wild M 4.635882716 NA optic_size 84.9407351898664 -15.6398998404702
wild lim 12 wild M 4.455497994 NA optic_size 96.4270006157885 -0.22041370262097
wild lim 11 wild M 4.333571975 NA optic_size 75.09980947555 -18.8890540635223
wild ben 10 wild M 5.474333333 NA optic_size 108.043958162432 -10.818775795953
wild ben 9 wild M 5.481980769 NA optic_size 116.54915990853 -2.48032350255171
wild ben 8 wild M 5.135423543 NA optic_size 102.461308527995 -9.01162550319394
wild ben 7 wild M 4.888881203 NA optic_size 100.440206176643 -5.65696527718658
wild ben 6 wild M 5.137254902 NA optic_size 118.917492194378 7.40462607210104
wild ben 1 wild F 4.836800444 NA optic_size 93.2527772582246 -11.7087929222792
wild ben 2 wild F 5.336580247 NA optic_size 133.851763938454 17.9926839757061
wild ben 3 wild F 5.105316831 NA optic_size 92.4781229842959 -18.3383455663715
wild ben 4 wild F 5.036203619 NA optic_size 120.937109820415 11.6276287456945
wild ben 5 wild F 6.699401239 NA optic_size 162.58550062947 17.0106238245514
wild ben 6 wild F 5.773233918 NA optic_size 106.665632049394 -18.7145162370688
wild ben 8 wild F 5.637868852 NA optic_size 109.789370967433 -12.6391931972734
wild ben 9 wild F 6.335516084 NA optic_size 142.032636793327 4.39213831346851
wild ben 10 wild F 6.385271776 NA optic_size 115.938031591713 -22.7873709539716
wild ben 11 wild M 5.271157576 NA optic_size 114.637274508796 0.204711169815936
wild ben 12 wild M 4.632543426 NA optic_size 133.386875706319 32.8790526328127
wild ben 13 wild M 7.328276042 NA optic_size 162.266637111121 2.97938282243368
wild ben 14 wild M 6.638488506 NA optic_size 157.125304788268 12.8786071129305
wild ben 15 wild M 4.925301075 NA optic_size 86.5762103772139 -20.3150826257572
wild ben 11 wild F 6.497584906 NA optic_size 139.381105107691 -1.79324280453793
wild ben 12 wild F 5.906647059 NA optic_size 133.559986592542 5.27081517149016
wild ben 13 wild F 5.346025418 NA optic_size 102.935643276442 -13.1293850714743
wild ben 14 wild F 5.086246493 NA optic_size 74.9775885643101 -35.4230584712456
wild ben 5 wild M 5.310410318 NA optic_size 116.219289643126 0.930835094942749
wild ben 4 wild M 5.577535981 NA optic_size 130.401158848251 9.28813014129374
wild ben 3 wild M 5.258956989 NA optic_size 132.541153231826 18.374619082868
wild ben 2 wild M 4.951081581 NA optic_size 128.457123661137 21.0036964649878
wild ben 1 wild M 5.202161111 NA optic_size 127.11657007619 14.1884485889302
wild lim 10 wild M 3.925218533 NA optic_size 72.3362811798853 -12.7485898366877
wild lim 9 wild M 4.399894459 NA optic_size 104.465654880425 9.03065463507883
wild lim 8 wild M 4.37239373 NA optic_size 125.67971177142 30.8443545318486
wild lim 6 wild M 4.384529004 NA optic_size 93.9731186825909 -1.12684362171429
wild lim 5 wild M 4.57525136 NA optic_size 102.475568117408 3.21697689747428
wild lim 4 wild M 4.436994527 NA optic_size 108.42903972336 12.1850865120776
wild lim 3 wild M 4.122621434 NA optic_size 85.3736038059602 -4.01556288598433
wild lim 2 wild M 4.888989418 NA optic_size 119.996558815051 13.8970277740311
wild lim 1 wild M 4.193264706 NA optic_size 91.5965906543857 0.667074106267041
wild lim 10 wild F 4.086905595 NA optic_size 67.299520521588 -21.3108757947886
wild lim 9 wild F 4.42434314 NA optic_size 83.7721581941092 -12.1959363034684
wild lim 7 wild F 2.863013072 NA optic_size 79.3149881762527 17.3911059241675
wild lim 6 wild F 3.784634463 NA optic_size 75.539593778575 -6.4798947058177
wild lim 3 wild F 3.440630634 NA optic_size 74.9317489740316 0.413134012647282
wild lim 2 wild F 3.644750245 NA optic_size 82.4222705862718 3.45290462561104
wild lim 1 wild F 3.393561003 NA optic_size 66.4696917742505 -7.02258766659026
wild lim 13 wild F 3.537102739 NA cere_size 34.6817993199435 -11.501477329464
wild lim 15 wild M 3.93897024 NA cere_size 69.4127733503983 -0.0617216465429475
wild lim 14 wild M 4.480141066 NA cere_size 71.8520461379295 -1.57215231358671
wild lim 13 wild M 4.635882716 NA cere_size 69.7581249030369 5.63347470179667
wild lim 12 wild M 4.455497994 NA cere_size 72.9869378507654 5.74636812914306
wild lim 11 wild M 4.333571975 NA cere_size 64.666035279184 2.33967207857268
wild ben 10 wild M 5.474333333 NA cere_size 85.5314692546551 0.615020076756655
wild ben 9 wild M 5.481980769 NA cere_size 94.4601420403181 -1.71286375739223
wild ben 8 wild M 5.135423543 NA cere_size 77.1914665397209 21.6532255573099
wild ben 7 wild M 4.888881203 NA cere_size 65.1823054102803 -7.86120017233441
wild ben 6 wild M 5.137254902 NA cere_size 82.1305485762758 -4.33162567175794
wild ben 1 wild F 4.836800444 NA cere_size 56.9451239327448 -16.5915593811137
wild ben 2 wild F 5.336580247 NA cere_size 90.1980386143975 -5.4385304500177
wild ben 3 wild F 5.105316831 NA cere_size 62.6539261206703 -14.612250423826
wild ben 4 wild F 5.036203619 NA cere_size 71.7999380045824 -8.71195835232447
wild ben 5 wild F 6.699401239 NA cere_size 87.7475960621965 15.6590636672946
