pond cross id treatment sex sl bd olf_size tele_size optic_size cere_size
12 2 61 P F 47.35 9.31 5.12813555610612 45.9710758781386 123.907656182099 53.9012395601179
12 2 63 P F 43.3 8.4 5.53644632634015 27.9939429680641 96.4502362099848 45.3237140101578
12 2 67 P F 42.5 8.55 7.59794876096075 35.1060352392259 118.889893231222 49.9515866573686
12 2 72 P M 39.22 7.18 4.06499748148361 24.2899768773813 86.9546123733713 34.9606660674912
12 2 74 P F 36.79 7.38 3.79108060848864 25.1417306373119 78.4162020000001 36.6508217279958
12 2 75 P F 37.09 7.4 3.66260335209524 22.5854466823032 63.7969807216859 28.7786968759336
12 2 76 P M 47.59 8.9 4.08745023269111 30.6568972085534 77.6611789835021 31.5902771709256
12 2 80 P M 49.51 9.43 2.62436491174356 40.5507651960762 114.268280318147 58.1563462306717
12 2 88 P F 39.77 7.67 1.84565604772576 19.0735332018028 55.4194082683114 25.9731823278981
12 2 89 P M 40.42 7.82 4.608213909188 26.8169924912738 92.3561850918777 35.0955566244153
12 2 91 P M 44.65 8.66 6.44971973961321 38.1949035024798 112.05356916502 55.3498574806557
12 2 92 P M 36.79 6.95 4.11993177931866 15.6390060945484 46.8246568324748 19.6108328718082
12 2 93 P F 47.05 9.85 2.31591850492587 28.1555014327094 77.1301814354291 32.9912289060833
12 2 94 P M 45.91 8.59 3.01010817308645 26.5728879541929 69.061694896213 32.9399270400106
12 2 96 P M 51.61 9.37 2.99498203080496 21.9914111966962 60.4989759842409 30.607790670156
12 2 100 P M 37.64 7.09 4.4210054721055 26.1165742982128 98.0897657863217 42.1186555283046
13 7 54 P F 38.7 7.96 3.68591494202928 28.5730176064876 71.6143827729678 37.6829762328333
13 7 58 P F 38.18 8.13 4.02306964320073 24.3714124424989 76.635166735282 32.5257167035482
13 7 61 P F 39.22 7.57 2.95978973758216 22.2189131924942 68.853368085243 29.3037320793236
13 7 64 P M 35.13 7.19 4.9850347458586 30.4558914630335 91.1911325219946 35.6386176153529
13 7 67 P F 30.98 6.16 2.2441281648562 16.9279696877719 49.5158788610965 15.752707825302
13 7 69 P M 44.64 9.51 2.76548401499563 23.3940383697436 67.2625586208118 31.7489874008812
13 7 71 P M 43.14 9.17 4.80693753153811 32.543154129259 76.1458503807589 33.72294898077
13 7 79 P M 62.37 12.67 2.3910259806211 14.7923092028445 42.547766797049 16.245671557005
13 7 80 P F 46.61 9.71 1.49929618906254 39.6936759748096 89.9549379373659 39.6136826053858
13 7 81 P F 40.39 7.83 2.96278400667677 20.1170274768617 60.7303155815406 23.6163824194249
13 7 82 P M 41.42 8.61 4.06249477205061 20.7428299728897 58.2415977643398 25.8412531144064
13 7 84 P M 36.15 7.15 2.92395287414023 18.8947609234454 55.5338298327393 20.5830781547916
13 7 88 P M 55.64 11.56 1.87118706952014 32.0053790872083 82.9065832419473 34.0397407738253
13 7 89 P M 55.08 11.26 3.55684098219368 30.6688795853689 67.7213135639725 34.813873391391
