pond	family	id	scale	olf_l	olf_w	tele_l	tele_w	optic_l	optic_w	cere_l	cere_w	sl	sex
8	2	11	56.036	102	70.029	284.028	224.036	384.187	376	248.516	264.008	58.85	m
8	2	2	56.036	78.918	78.23	264.56	166.865	410.682	334.742	271.426	291.568	65.91	f
8	2	3	46	53.852	43.081	260.461	167.905	358.022	297.523	216.342	239.082	55.23	f
8	2	4	48.042	78.102	66.121	270.296	168.808	388.973	325.269	258.774	285.377	60.52	f
8	2	5	52	100.08	72.111	304.164	212	370.086	354.023	232.009	274.029	54.62	m
8	2	6	46	66.121	60.299	323.215	197.018	379.905	386.078	234.546	343.313	56	m
8	2	8	50	98.02	80.025	278	200	334.096	346.006	264.03	278.029	56.16	m
8	2	9	50.04	98	70.114	292.062	168	374.433	328.098	236.212	270.007	57.81	f
9	1	1	50.16	63.561	52.345	245.967	154.635	345.08	313.847	226.433	242.528	51.2	f
9	1	10	48	70	70	264.068	198.162	346.006	342.094	218.009	262	50.61	m
9	1	11	46	62.29	54	274.591	210.238	362.138	332.054	266.12	254.031	55.6	f
9	1	12	46.043	54.148	56.321	231.836	183.967	312.877	338.585	260.929	252.792	53.4	f
9	1	13	48	54.037	58	270.067	188.096	300.027	326.098	234.009	280.179	49.54	m
9	1	15	46.043	76.236	70.114	276.463	186	329.029	354.954	282.028	260.069	64.86	f
9	1	16	52.038	68.731	62.801	258.248	213.841	300.167	350.964	222	256.78	49.8	m
9	1	3	56.143	58.549	67.469	287.507	205.222	355.106	333.179	278.352	283.81	56.38	m
9	1	4	48.166	82.389	82.098	248.652	196.01	340.094	308.006	264.121	286.063	62.56	f
9	1	6	50.04	70.711	71.694	304.322	197.798	388.33	341.157	260.599	278.374	54.85	f
9	1	7	48.042	76	74.108	282.028	232.034	364.927	366.022	270.599	298.242	56.7	m
9	1	8	44	82.098	70.029	256	192.094	354.051	318.006	264.121	266.068	53.54	f
9	1	9	50.16	72.028	72.028	302.007	218.229	340.476	352.142	246.13	276.007	50.63	m
9	2	10	50.359	86.209	98.184	306.62	225.504	377.465	363.736	288.014	286.803	58.86	m
9	2	13	52	74.108	76.236	283.196	207.171	377.465	342.286	286.566	262.191	69.35	m
9	2	14	52.154	92.022	84.214	282.347	244.205	368.782	369.567	268.067	308.234	71.19	m
9	2	15	46	98	66.03	272.118	204.353	356.051	340	232.078	250.008	64.5	f
9	2	16	54	84.024	84	250.008	204	352.363	338.29	280.257	290.172	68.6	f
9	2	17	52	82.219	67.469	218.229	174.734	321.801	315.626	234.137	248.129	52.1	f
9	2	18	52	66.121	86.209	290.062	232.078	391.152	348.207	284.113	304.105	70.64	f
9	2	19	48.042	66.121	50.04	266.188	180.178	326.497	312.058	252.127	268.067	59.85	m
9	2	2	48	82	76.026	274.007	212.151	338.213	370.265	236.008	282	62.09	f
9	2	20	48	90.355	68.264	286.566	196.163	389.158	355.443	268.03	290.11	58.73	m
9	2	21	50.04	74.027	74.027	248.032	196.01	352.006	338.006	288.028	280	58.63	m
9	2	3	50	82.219	66.483	266.271	178.101	324.154	330.218	244	268.119	60.41	f
9	2	4	48.042	94.021	64	268.03	200.04	348.006	320.156	250	266.03	57.55	m
9	2	6	50	66.03	76.026	266	208.01	324.154	330.218	222.225	258.031	53.5	m
9	2	7	44.181	98.082	72.111	263.097	199.218	350.291	356.724	271.065	292.828	61.96	f
9	2	8	42.048	88.363	62.514	260.622	184.098	324.746	338.591	282.113	306	61.64	f
9	2	9	50	92.195	84.593	288.014	220.635	342.421	337.153	269.948	298.563	58.27	m
