pond	id	scale	olf_l	olf_w	tele_l	tele_w	optic_l	optic_w	cere_l	cere_w	treatment	sl	bd
14	98	98	26	30.067	29.155	99.408	77.026	158.382	130.188	109.073	NP	40.7	8.03
14	99	99	25.02	36.222	28.284	88.843	74.148	150.207	130.25	91.444	NP	42.33	8.82
14	100	100	26	39.459	34.785	96.047	79.63	153.883	137.463	94.541	NP	46.23	9.89
5	53	53	25	30	27	91	65	139	117	76.026	NP	33.53	6.1
5	54	54	22	22	22.023	77.058	49.01	108.042	88.051	55.009	NP	27.91	5.39
5	56	56	22	36.056	33.061	103.586	76.538	129.004	137.266	104.69	NP	28.05	5.66
5	58	58	22	29.614	28.636	85.288	56.886	126.321	107.28	68.118	NP	26.94	5.23
5	61	61	22	27	25.08	78.409	55.317	116.4	112.792	60.008	NP	37.97	6.69
5	64	64	25	31.623	26.683	87.801	65.734	135.366	116.902	79.63	NP	26.05	5.77
5	65	65	24	20.396	18.682	85.376	50.448	129.314	111.647	74.061	NP	34.8	6.8
5	78	78	24	25.02	22.204	78.102	57.706	120.037	116.004	74.061	NP	33.35	6.23
5	82	82	23	21	20.025	75.107	50.636	109.115	122.066	65	NP	32.48	6.89
5	84	84	23	25.02	25.08	88.204	59.034	110.005	121	69.029	NP	34.78	7.08
5	87	87	24	33.015	25	86.093	68.029	126.004	121.066	79	NP	37.86	7.47
5	89	89	22.023	29.12	26.683	62.29	81.253	128	105.342	82.735	NP	37.69	7.19
5	91	91	24	37.121	34.015	76.655	86.585	144.17	145.417	95	NP	42.89	8.75
5	93	93	25.02	26.019	24.021	94.34	58.034	135.624	103.078	68.029	NP	34.51	6.59
5	94	94	24.021	26.306	24.331	70.831	53.6	122.147	101.124	74.027	NP	34.11	6.53
5	95	95	23.022	26.926	22.361	77.104	56.223	120.071	92.022	71.176	NP	35.33	6.4
5	97	97	25	27.074	21.024	86.052	66.068	139.291	109.836	80.056	NP	39.55	7.08
5	98	98	22.023	30.265	26.476	86.885	66.708	139.832	123.665	82.873	NP	39.95	7.98
5	99	99	25	20.025	27.074	87.298	66.287	127.424	113.952	77.233	NP	37.63	6.89
5	100	100	24	26.476	29.12	82.765	63.348	134.172	115.521	75.802	NP	36.41	6.41
6	52	52	25.02	26.173	22	78.16	57.035	115.278	106.794	62.008	NP	30.89	5.96
6	54	54	24.021	31	31	92.087	71.007	149.566	129	84.024	NP	30.6	6.35
6	57	57	23.087	27.459	23.409	71.197	49.98	111.683	94.43	64.327	NP	31.22	6.51
6	58	58	25	25.318	18.439	75.928	47.074	114.739	100.404	65.276	NP	35.13	7.23
