pond family id treatment sex sl region size
5 2 17 NP M 58.51 tele_size 91.2433093002444
5 2 18 NP M 62.19 tele_size 78.5899496462363
5 2 19 NP F 57.33 tele_size 69.8141609435773
5 2 2 NP M 52.95 tele_size 71.5693851207545
5 2 20 NP F 51.11 tele_size 78.2210430386755
5 2 21 NP F 55.83 tele_size 63.0837217377383
5 2 22 NP F 56.72 tele_size 77.7677690623636
5 2 23 NP F 56.72 tele_size 82.6139680600524
5 2 24 NP F 56.62 tele_size 67.7621140237015
5 2 25 NP F 62.05 tele_size 80.2834232191562
5 2 3 NP F 48.01 tele_size 63.0205032798042
5 2 4 NP M 54.93 tele_size 72.6366680025086
5 2 6 NP M 62.49 tele_size 81.3964310883547
6 1 1 NP F 59.3 tele_size 70.4444069828118
6 2 1 NP M 58 tele_size 91.9439804795186
6 2 10 NP M 54.8 tele_size 62.9581314647175
6 2 11 NP M 53.1 tele_size 74.0980106287648
6 2 12 NP M 58.8 tele_size 80.107643964723
6 2 13 NP F 57.4 tele_size 73.1991643855406
6 2 14 NP M 55.8 tele_size 81.4058574324335
6 2 15 NP M 60.3 tele_size 55.7909618847976
6 2 15 NP M 60.3 tele_size 55.7909618847976
6 2 2 NP F 58.6 tele_size 68.6590539918286
6 2 3 NP M 54 tele_size 110.552645479825
6 2 7 NP F 60.1 tele_size 102.269170374002
6 2 9 NP F 62.2 tele_size 113.914149619166
7 1 10 P M 50.4 tele_size 47.5318503218614
7 1 11 P M 53.66 tele_size 61.5251177259768
7 1 12 P F 54.35 tele_size 62.7784123201361
7 1 13 P F 62.19 tele_size 53.9040011018367
7 1 14 P F 64.59 tele_size 61.9468267222889
7 1 15 P F 48.38 tele_size 49.8618648455249
7 1 16 P F 48.32 tele_size 33.9459745195452
7 1 19 P M 43.08 tele_size 43.8580767654189
7 1 20 P F 51.79 tele_size 63.4095849814573
7 1 21 P F 45.46 tele_size 53.1516426271417
7 1 22 P M 44.84 tele_size 71.1744958066258
7 1 23 P M 51.54 tele_size 78.393926386899
7 1 24 P F 46.85 tele_size 57.2012812357792
7 1 26 P M 50.18 tele_size 55.9682388804206
7 1 27 P M 47.3 tele_size 65.2214908125222
7 1 272 P NA NA tele_size 40.8573326241065
7 1 30 P NA 46.72 tele_size 55.6725345067364
7 1 31 P NA 62.27 tele_size 83.8962976877489
7 1 312 P NA NA tele_size 56.6715083287872
7 1 4 P F 55.1 tele_size 63.116859206814
7 1 5 P F 56.6 tele_size 66.3823060644731
7 1 7 P F 49.5 tele_size 62.7880232814497
7 1 8 P F 47.2 tele_size 62.1273863385039
7 1 9 P F 49.52 tele_size 81.7683586183814
7 2 1 P F 64.1 tele_size 66.9284335874808
7 2 10 P M 58.32 tele_size 70.689140401003
7 2 2 P M 60.97 tele_size 80.5680085255375
7 2 7 P F 57.62 tele_size 48.1192178767724
7 2 8 P F 55.04 tele_size 43.4446326470095
7 2 9 P F 58.44 tele_size 58.316690235597
7 3 3 P F 61.48 tele_size 63.4191432366556
8 1 1 NP F 71.4 tele_size 77.50678938823
8 1 11 NP F 65.8 tele_size 58.6621609201088
8 1 12 NP F 64.78 tele_size 66.5226418765442
8 1 13 NP M 59 tele_size 71.1118978151447
8 1 14 NP M 55.92 tele_size 63.820494613876
8 1 16 NP F 54.58 tele_size 55.7613104752587
8 1 2 NP F 60.69 tele_size 81.010230930871
8 1 3 NP M 60.1 tele_size 66.8143684978736
8 1 4 NP M 49.16 tele_size 66.1006800439955
8 1 5 NP F 51.25 tele_size 70.531479174013
8 1 7 NP F 59.26 tele_size 53.3095240923151
8 1 8 NP M 61.61 tele_size 94.4940716635657
8 1 9 NP F 67.75 tele_size 75.56594834337
8 2 1 NP F 54.76 tele_size 53.6070644565099
8 2 10 NP M 56.9 tele_size 60.2829864515536
8 2 11 NP M 58.85 tele_size 63.6640972516322
8 2 2 NP F 65.91 tele_size 44.1677274462417
8 2 3 NP F 55.23 tele_size 64.929273276013
8 2 4 NP F 60.52 tele_size 62.1069723259255
8 2 5 NP M 54.62 tele_size 74.9181176893251
8 2 6 NP M 56 tele_size 94.5434885042847
8 2 8 NP M 56.16 tele_size 69.869020615837
8 2 9 NP F 57.81 tele_size 61.5601411930331
9 1 1 NP F 51.2 tele_size 47.4918907307912
9 1 10 NP M 50.61 tele_size 71.35157284476
9 1 11 NP F 55.6 tele_size 85.7100452656234
9 1 12 NP F 53.4 tele_size 63.2038375332197
9 1 13 NP M 49.54 tele_size 69.2657399677029
9 1 15 NP F 64.86 tele_size 76.2030944233304
