pond cross id treatment sex sl region size resid type
wild ben 1 wild M 5.202161111 olf_size 4.99498643132606 9.92582653978186 wild
wild lim 10 wild M 3.925218533 olf_size 3.08430738274578 10.6185837953082 wild
wild lim 9 wild M 4.399894459 olf_size 2.75697878308175 -2.21659102379786 wild
wild lim 8 wild M 4.37239373 olf_size 4.92200096695357 3.23145143628846 wild
wild lim 6 wild M 4.384529004 olf_size 4.15436843342761 6.48505945681728 wild
wild lim 5 wild M 4.57525136 olf_size 4.84062678898862 11.2578390851106 wild
wild lim 4 wild M 4.436994527 olf_size 4.59643524380007 0.312016199071499 wild
wild lim 3 wild M 4.122621434 olf_size 4.77924565115769 -4.92657456109183 wild
wild lim 2 wild M 4.888989418 olf_size 5.24362781356944 -1.13564501943147 wild
wild lim 1 wild M 4.193264706 olf_size 4.21208491501911 3.40916604839108 wild
wild lim 10 wild F 4.086905595 olf_size 2.23092914343713 -14.0599413594466 wild
wild lim 9 wild F 4.42434314 olf_size 3.02511071431018 -9.15742162877204 wild
wild lim 7 wild F 2.863013072 olf_size 2.3715044467734 5.00471554615116 wild
wild lim 6 wild F 3.784634463 olf_size 2.23928145391806 -7.04017694103094 wild
wild lim 3 wild F 3.440630634 olf_size 3.74063226233302 2.3746548582149 wild
wild lim 2 wild F 3.644750245 olf_size 3.76588334429009 -26.0985102581745 wild
wild lim 1 wild F 3.393561003 olf_size 3.38328398439433 -9.09141099287218 wild
wild lim 13 wild F 3.537102739 tele_size 38.7260279949171 0.266082270755806 wild
wild lim 15 wild M 3.93897024 tele_size 54.8690292116157 0.953002596628085 wild
wild lim 14 wild M 4.480141066 tele_size 59.6921768111938 -0.738836598834701 wild
wild lim 13 wild M 4.635882716 tele_size 68.720522055752 -0.357068536956873 wild
wild lim 12 wild M 4.455497994 tele_size 66.7222877208457 -0.0105888836808999 wild
wild lim 11 wild M 4.333571975 tele_size 61.8886337727442 -0.869753751664041 wild
wild ben 10 wild M 5.474333333 tele_size 73.5148517685486 -1.02875506526658 wild
wild ben 9 wild M 5.481980769 tele_size 71.2764694967861 0.678138947621906 wild
wild ben 8 wild M 5.135423543 tele_size 90.5866355996662 1.14787385714186 wild
wild ben 7 wild M 4.888881203 tele_size 58.1868081975635 -1.35736926328786 wild
wild ben 6 wild M 5.137254902 tele_size 64.6232176316012 0.224565287246487 wild
wild ben 1 wild F 4.836800444 tele_size 48.8469232208308 2.51365649122808 wild
wild ben 2 wild F 5.336580247 tele_size 65.8491116895427 2.57056934572808 wild
wild ben 3 wild F 5.105316831 tele_size 53.9688065210582 0.801311593622809 wild
wild ben 4 wild F 5.036203619 tele_size 59.0602339671417 1.463854490678 wild
wild ben 5 wild F 6.699401239 tele_size 102.896444783041 -1.23811044450162 wild
wild ben 6 wild F 5.773233918 tele_size 64.686975285362 -0.649615798337052 wild
wild ben 8 wild F 5.637868852 tele_size 63.7632598605212 0.610211087174541 wild
wild ben 9 wild F 6.335516084 tele_size 81.836993247927 -0.944469084729111 wild
wild ben 10 wild F 6.385271776 tele_size 62.5757178032742 -0.0829201741626132 wild
wild ben 11 wild M 5.271157576 tele_size 68.6404560713616 0.820743530238358 wild
wild ben 12 wild M 4.632543426 tele_size 69.2279454417016 0.704110276144564 wild
wild ben 13 wild M 7.328276042 tele_size 97.7356708000502 -0.441816888524928 wild
wild ben 14 wild M 6.638488506 tele_size 102.838066989535 1.02822478408014 wild
wild ben 15 wild M 4.925301075 tele_size 65.8508179437294 -1.45526523854207 wild
wild ben 11 wild F 6.497584906 tele_size 73.8329147243353 -0.153257401911555 wild
wild ben 12 wild F 5.906647059 tele_size 67.5403167003982 -0.259535494651785 wild
wild ben 13 wild F 5.346025418 tele_size 59.6971735791882 -1.31664807628229 wild
wild ben 14 wild F 5.086246493 tele_size 48.3934525810557 -1.58689450839447 wild
wild ben 5 wild M 5.310410318 tele_size 77.3367613962222 0.894362821002537 wild
wild ben 4 wild M 5.577535981 tele_size 73.9074604421811 -0.642221252528136 wild
wild ben 3 wild M 5.258956989 tele_size 86.5895621703766 -1.19799438030506 wild
wild ben 2 wild M 4.951081581 tele_size 91.4133840778709 0.366237293767635 wild
wild ben 1 wild M 5.202161111 tele_size 92.6824772899654 0.637109961460885 wild
wild lim 10 wild M 3.925218533 tele_size 52.6126311756284 -0.643332920809819 wild
wild lim 9 wild M 4.399894459 tele_size 57.4378784537616 -1.20493825381783 wild
wild lim 8 wild M 4.37239373 tele_size 83.4893546224627 0.973656939768198 wild
wild lim 6 wild M 4.384529004 tele_size 66.6335554920605 0.200035030764717 wild
wild lim 5 wild M 4.57525136 tele_size 75.9403430268071 0.792162194723332 wild
wild lim 4 wild M 4.436994527 tele_size 81.8573185269963 0.616207434725619 wild
wild lim 3 wild M 4.122621434 tele_size 50.2590742498176 0.954176966962238 wild
wild lim 2 wild M 4.888989418 tele_size 67.2632014594769 1.04031751652476 wild
wild lim 1 wild M 4.193264706 tele_size 54.5518628747 0.352150179923714 wild
wild lim 10 wild F 4.086905595 tele_size 46.349738516707 -1.57651195606055 wild
wild lim 9 wild F 4.42434314 tele_size 62.7567288921853 -0.948872991247985 wild
wild lim 7 wild F 2.863013072 tele_size 58.0350578239943 -0.831883389124459 wild
wild lim 6 wild F 3.784634463 tele_size 42.4506589524303 -1.41897345451682 wild
wild lim 3 wild F 3.440630634 tele_size 41.9391956783791 0.252160755376023 wild
wild lim 2 wild F 3.644750245 tele_size 50.77087435327 0.176668418387243 wild
wild lim 1 wild F 3.393561003 tele_size 34.6049221050791 -0.0819562635365136 wild
wild lim 13 wild F 3.537102739 optic_size 74.5774384536575 -2.04471430905558 wild
wild lim 15 wild M 3.93897024 optic_size 92.8685246726135 7.4838028804479 wild
wild lim 14 wild M 4.480141066 optic_size 106.68767673886 9.50292954590716 wild
wild lim 13 wild M 4.635882716 optic_size 84.9407351898664 -15.6398998404702 wild
wild lim 12 wild M 4.455497994 optic_size 96.4270006157885 -0.22041370262097 wild
wild lim 11 wild M 4.333571975 optic_size 75.09980947555 -18.8890540635223 wild
wild ben 10 wild M 5.474333333 optic_size 108.043958162432 -10.818775795953 wild
wild ben 9 wild M 5.481980769 optic_size 116.54915990853 -2.48032350255171 wild
wild ben 8 wild M 5.135423543 optic_size 102.461308527995 -9.01162550319394 wild
wild ben 7 wild M 4.888881203 optic_size 100.440206176643 -5.65696527718658 wild
wild ben 6 wild M 5.137254902 optic_size 118.917492194378 7.40462607210104 wild
wild ben 1 wild F 4.836800444 optic_size 93.2527772582246 -11.7087929222792 wild
wild ben 2 wild F 5.336580247 optic_size 133.851763938454 17.9926839757061 wild
wild ben 3 wild F 5.105316831 optic_size 92.4781229842959 -18.3383455663715 wild
wild ben 4 wild F 5.036203619 optic_size 120.937109820415 11.6276287456945 wild
wild ben 5 wild F 6.699401239 optic_size 162.58550062947 17.0106238245514 wild
wild ben 6 wild F 5.773233918 optic_size 106.665632049394 -18.7145162370688 wild
wild ben 8 wild F 5.637868852 optic_size 109.789370967433 -12.6391931972734 wild
wild ben 9 wild F 6.335516084 optic_size 142.032636793327 4.39213831346851 wild
wild ben 10 wild F 6.385271776 optic_size 115.938031591713 -22.7873709539716 wild
wild ben 11 wild M 5.271157576 optic_size 114.637274508796 0.204711169815936 wild
wild ben 12 wild M 4.632543426 optic_size 133.386875706319 32.8790526328127 wild
wild ben 13 wild M 7.328276042 optic_size 162.266637111121 2.97938282243368 wild
wild ben 14 wild M 6.638488506 optic_size 157.125304788268 12.8786071129305 wild
wild ben 15 wild M 4.925301075 optic_size 86.5762103772139 -20.3150826257572 wild
wild ben 11 wild F 6.497584906 optic_size 139.381105107691 -1.79324280453793 wild
wild ben 12 wild F 5.906647059 optic_size 133.559986592542 5.27081517149016 wild
wild ben 13 wild F 5.346025418 optic_size 102.935643276442 -13.1293850714743 wild
wild ben 14 wild F 5.086246493 optic_size 74.9775885643101 -35.4230584712456 wild
wild ben 5 wild M 5.310410318 optic_size 116.219289643126 0.930835094942749 wild
wild ben 4 wild M 5.577535981 optic_size 130.401158848251 9.28813014129374 wild
wild ben 3 wild M 5.258956989 optic_size 132.541153231826 18.374619082868 wild
wild ben 2 wild M 4.951081581 optic_size 128.457123661137 21.0036964649878 wild
wild ben 1 wild M 5.202161111 optic_size 127.11657007619 14.1884485889302 wild
wild lim 10 wild M 3.925218533 optic_size 72.3362811798853 -12.7485898366877 wild
wild lim 9 wild M 4.399894459 optic_size 104.465654880425 9.03065463507883 wild
wild lim 8 wild M 4.37239373 optic_size 125.67971177142 30.8443545318486 wild
wild lim 6 wild M 4.384529004 optic_size 93.9731186825909 -1.12684362171429 wild
wild lim 5 wild M 4.57525136 optic_size 102.475568117408 3.21697689747428 wild
wild lim 4 wild M 4.436994527 optic_size 108.42903972336 12.1850865120776 wild
wild lim 3 wild M 4.122621434 optic_size 85.3736038059602 -4.01556288598433 wild
wild lim 2 wild M 4.888989418 optic_size 119.996558815051 13.8970277740311 wild
wild lim 1 wild M 4.193264706 optic_size 91.5965906543857 0.667074106267041 wild
wild lim 10 wild F 4.086905595 optic_size 67.299520521588 -21.3108757947886 wild
wild lim 9 wild F 4.42434314 optic_size 83.7721581941092 -12.1959363034684 wild
wild lim 7 wild F 2.863013072 optic_size 79.3149881762527 17.3911059241675 wild
wild lim 6 wild F 3.784634463 optic_size 75.539593778575 -6.4798947058177 wild
wild lim 3 wild F 3.440630634 optic_size 74.9317489740316 0.413134012647282 wild
wild lim 2 wild F 3.644750245 optic_size 82.4222705862718 3.45290462561104 wild
wild lim 1 wild F 3.393561003 optic_size 66.4696917742505 -7.02258766659026 wild
wild lim 13 wild F 3.537102739 cere_size 34.6817993199435 -11.501477329464 wild
wild lim 15 wild M 3.93897024 cere_size 69.4127733503983 -0.0617216465429475 wild
wild lim 14 wild M 4.480141066 cere_size 71.8520461379295 -1.57215231358671 wild
wild lim 13 wild M 4.635882716 cere_size 69.7581249030369 5.63347470179667 wild
wild lim 12 wild M 4.455497994 cere_size 72.9869378507654 5.74636812914306 wild
wild lim 11 wild M 4.333571975 cere_size 64.666035279184 2.33967207857268 wild
wild ben 10 wild M 5.474333333 cere_size 85.5314692546551 0.615020076756655 wild
wild ben 9 wild M 5.481980769 cere_size 94.4601420403181 -1.71286375739223 wild
wild ben 8 wild M 5.135423543 cere_size 77.1914665397209 21.6532255573099 wild
wild ben 7 wild M 4.888881203 cere_size 65.1823054102803 -7.86120017233441 wild
wild ben 6 wild M 5.137254902 cere_size 82.1305485762758 -4.33162567175794 wild
wild ben 1 wild F 4.836800444 cere_size 56.9451239327448 -16.5915593811137 wild
wild ben 2 wild F 5.336580247 cere_size 90.1980386143975 -5.4385304500177 wild
wild ben 3 wild F 5.105316831 cere_size 62.6539261206703 -14.612250423826 wild
wild ben 4 wild F 5.036203619 cere_size 71.7999380045824 -8.71195835232447 wild
wild ben 5 wild F 6.699401239 cere_size 87.7475960621965 15.6590636672946 wild
wild ben 6 wild F 5.773233918 cere_size 76.063749695165 -11.71103139681 wild
wild ben 8 wild F 5.637868852 cere_size 82.8883654659531 -11.0505053975253 wild
wild ben 9 wild F 6.335516084 cere_size 91.1352549274055 -1.14166770308154 wild
wild ben 10 wild F 6.385271776 cere_size 83.3510614557556 -20.9852575563309 wild
wild ben 11 wild M 5.271157576 cere_size 78.8209039089295 -1.88151359052177 wild
wild ben 12 wild M 4.632543426 cere_size 80.0797224554008 6.17997937881711 wild
wild ben 13 wild M 7.328276042 cere_size 98.6881079565917 3.13827027204685 wild
wild ben 14 wild M 6.638488506 cere_size 88.0531892316678 16.3135764128827 wild
wild ben 15 wild M 4.925301075 cere_size 58.5455331624092 -0.623429422600107 wild
wild ben 11 wild F 6.497584906 cere_size 69.7804245240319 -11.0425143438743 wild
wild ben 12 wild F 5.906647059 cere_size 79.1417613638504 -10.4190871039449 wild
wild ben 13 wild F 5.346025418 cere_size 68.8947058750022 -11.7010098661782 wild
wild ben 14 wild F 5.086246493 cere_size 53.2520295837872 -19.9644151738518 wild
wild ben 5 wild M 5.310410318 cere_size 70.9776761931371 6.35539831974169 wild
wild ben 4 wild M 5.577535981 cere_size 64.746537265458 -0.200200676156074 wild
wild ben 3 wild M 5.258956989 cere_size 85.8326674768266 16.2103817516503 wild
wild ben 2 wild M 4.951081581 cere_size 89.8714857758816 24.6374152501112 wild
wild ben 1 wild M 5.202161111 cere_size 82.9147152361144 22.9680059081126 wild
wild lim 10 wild M 3.925218533 cere_size 67.2047761995166 -2.15717694800046 wild
wild lim 9 wild M 4.399894459 cere_size 60.4669507722332 -2.88728665543071 wild
wild lim 8 wild M 4.37239373 cere_size 65.5617384240214 23.4860435585043 wild
wild lim 6 wild M 4.384529004 cere_size 68.9712275446663 6.4882195738911 wild
wild lim 5 wild M 4.57525136 cere_size 76.1938909308387 13.5628931237636 wild
wild lim 4 wild M 4.436994527 cere_size 63.4721190858716 21.0979537657057 wild
wild lim 3 wild M 4.122621434 cere_size 54.1953151313678 -6.82103343815196 wild
wild lim 2 wild M 4.888989418 cere_size 67.8304628126159 1.21392659822514 wild
wild lim 1 wild M 4.193264706 cere_size 63.4384889768172 -3.35501645491432 wild
wild lim 10 wild F 4.086905595 cere_size 44.6031680636191 -10.3123698061886 wild
wild lim 9 wild F 4.42434314 cere_size 53.8401705373345 2.14542929977683 wild
wild lim 7 wild F 2.863013072 cere_size 47.9465719584409 15.6967428615962 wild
wild lim 6 wild F 3.784634463 cere_size 47.7401724727021 -10.673827273552 wild
wild lim 3 wild F 3.440630634 cere_size 52.7361757140872 -7.15925094917695 wild
wild lim 2 wild F 3.644750245 cere_size 26.8849859661936 -0.71648067420206 wild
wild lim 1 wild F 3.393561003 cere_size 40.6654868555313 -13.9426463568467 wild
10 4 79 P M 47.19 olf_size 6.55745941700136 10.2861275989794 pond
10 4 81 P M 37.48 olf_size 5.27270985868291 -1.6767011258143 pond
10 4 82 P F 44.47 olf_size 6.61838553745213 7.64699434346089 pond
10 4 83 P F 44.95 olf_size 8.93129333582676 14.3526730294228 pond
10 4 84 P F 36.91 olf_size 4.51768635403412 1.00266843605039 pond
10 4 85 P M 38.08 olf_size 6.48713287614937 4.53721216340446 pond
10 4 86 P M 34.77 olf_size 4.81919673817345 11.2507432907126 pond
10 4 88 P M 43.34 olf_size 6.51488635022009 8.10206002965504 pond
10 4 89 P F 32.37 olf_size 4.47991255143028 7.41511199693087 pond
10 4 90 P F 37.25 olf_size 6.04921809045921 6.66610094041718 pond
10 4 91 P M 35.26 olf_size 7.32106620468291 7.56229376640689 pond
10 4 92 P M 39.25 olf_size 5.54142712732454 4.98201568597814 pond
10 4 94 P F 41.55 olf_size 8.44844664679446 1.65387523179126 pond
10 4 95 P F 40.27 olf_size 8.61264034048638 -38.5347021587617 pond
10 4 96 P M 37.81 olf_size 5.47131114261955 2.16432290162487 pond
10 4 97 P M 36.1 olf_size 3.04913302236996 -6.97716801388066 pond
10 4 98 P F 36.78 olf_size 5.01963120694002 -2.37961654799347 pond
10 4 99 P F 44.55 olf_size 6.68549559866431 4.76168121044486 pond
10 4 100 P F 42.66 olf_size 5.5956890867678 14.5614772832397 pond
11 1 58 P F 33.23 olf_size 2.67196355318035 -2.85903913790106 pond
11 1 62 P F 33.2 olf_size 4.12222107250723 -6.20982728491113 pond
11 1 66 P M 51.18 olf_size 3.1670769659118 -19.5705401884424 pond
11 1 76 P M 47.21 olf_size 4.80307101947936 1.2122337788301 pond
11 1 77 P M 39.29 olf_size 4.76103771208188 3.27531463731528 pond
11 1 80 P M 51.64 olf_size 11.2001760593564 2.15189308702922 pond
11 1 87 P M 40.35 olf_size 3.73172974482231 -1.94532969836155 pond
11 1 88 P M 38.05 olf_size 3.64574035603192 -13.8740370522092 pond
11 1 89 P M 34.13 olf_size 3.57995111010168 -6.76809048443669 pond
11 1 90 P F 37.76 olf_size 5.3503275881731 6.41960092362166 pond
11 1 91 P F 36.61 olf_size 7.44165471221055 3.46694623126152 pond
11 1 92 P F 39.82 olf_size 4.35307629161997 -5.76296111901312 pond
11 1 93 P F 47.84 olf_size 7.62546064143999 9.87774841094769 pond
11 1 94 P M 55.78 olf_size 7.19293042942892 2.78754932070816 pond
11 1 95 P F 35.22 olf_size 4.87203972397122 0.147532113089969 pond
11 1 96 P M 47.48 olf_size 7.57267432962471 18.857712686023 pond
11 1 97 P M 49.32 olf_size 6.49138946246604 0.637210948046647 pond
11 1 98 P F 45.15 olf_size 4.90311557668434 3.79620741598869 pond
11 1 99 P F 37.39 olf_size 6.87195544447603 -4.29296472507399 pond
11 1 100 P F 37.1 olf_size 5.44757878802768 -2.64857270622272 pond
12 2 51 P F 37.13 olf_size 5.96886152234379 -2.33662367346241 pond
12 2 54 P F 38.63 olf_size 4.58089082852256 -4.92838618513536 pond
12 2 57 P F 46.46 olf_size 4.926781268432 12.7131620492055 pond
12 2 61 P F 47.35 olf_size 5.12813555610612 9.68346396392368 pond
12 2 63 P F 43.3 olf_size 5.53644632634015 4.35684906673215 pond
12 2 67 P F 42.5 olf_size 7.59794876096075 9.62687690461329 pond
12 2 72 P M 39.22 olf_size 4.06499748148361 -2.73120740351576 pond
12 2 74 P F 36.79 olf_size 3.79108060848864 0.909494648649989 pond
12 2 75 P F 37.09 olf_size 3.66260335209524 -7.20343839991354 pond
12 2 76 P M 47.59 olf_size 4.08745023269111 -12.8201449824696 pond
12 2 80 P M 49.51 olf_size 2.62436491174356 12.2047516196676 pond
12 2 88 P F 39.77 olf_size 1.84565604772576 -12.1601728366947 pond
12 2 89 P M 40.42 olf_size 4.608213909188 -3.55954963259712 pond
12 2 91 P M 44.65 olf_size 6.44971973961321 13.2993556529739 pond
12 2 92 P M 36.79 olf_size 4.11993177931866 -16.1304942075376 pond
12 2 93 P F 47.05 olf_size 2.31591850492587 -10.9857384936095 pond
12 2 94 P M 45.91 olf_size 3.01010817308645 -10.121969212977 pond
12 2 96 P M 51.61 olf_size 2.99498203080496 -17.0294613163577 pond
12 2 100 P M 37.64 olf_size 4.4210054721055 5.69503855887161 pond
13 7 54 P F 38.7 olf_size 3.68591494202928 0.408503635762035 pond
13 7 58 P F 38.18 olf_size 4.02306964320073 -4.33135501958725 pond
13 7 61 P F 39.22 olf_size 2.95978973758216 -8.38814139168335 pond
13 7 64 P M 35.13 olf_size 4.9850347458586 1.22976255664804 pond
13 7 67 P F 30.98 olf_size 2.2441281648562 -15.3249671818005 pond
13 7 69 P M 44.64 olf_size 2.76548401499563 -10.2934874869172 pond
13 7 71 P M 43.14 olf_size 4.80693753153811 -7.11548492452151 pond
13 7 79 P M 62.37 olf_size 2.3910259806211 -40.0285677440247 pond
13 7 80 P F 46.61 olf_size 1.49929618906254 -4.01009943943835 pond
13 7 81 P F 40.39 olf_size 2.96278400667677 -15.0146430179374 pond
13 7 82 P M 41.42 olf_size 4.06249477205061 -13.616547130944 pond
13 7 84 P M 36.15 olf_size 2.92395287414023 -14.6445247720179 pond
13 7 88 P M 55.64 olf_size 1.87118706952014 -16.8323679856902 pond
13 7 89 P M 55.08 olf_size 3.55684098219368 -15.6087267346553 pond
13 7 91 P F 41.57 olf_size 2.08496373128453 -20.7007903568159 pond
13 7 92 P F 42.09 olf_size 5.0914171695482 -10.7280133353958 pond
13 7 94 P F 46.96 olf_size 6.67479362790898 -4.91507277255913 pond
13 7 95 P M 45.71 olf_size 5.20500557991208 -11.6435887318288 pond
13 7 97 P M 39.95 olf_size 4.26782092226644 -5.67322485520971 pond
13 7 100 P M 46.98 olf_size 6.20609001770917 15.1783692635286 pond
14 2 76 NP M 43.52 olf_size 6.30292614219788 35.8440606025474 pond
14 2 77 NP M 47.02 olf_size 5.87434045141852 17.3810060952907 pond
14 2 80 NP M 42.4 olf_size 3.69239871785312 6.8631058704688 pond
14 2 82 NP F 48.86 olf_size 6.83299579541698 3.68751626541042 pond
14 2 83 NP F 31.36 olf_size 4.87911180094014 2.57502253549138 pond
14 2 84 NP F 34.03 olf_size 5.66559607553216 0.472835936516248 pond
14 2 85 NP F 43.03 olf_size 4.36290850970069 13.232963404334 pond
14 2 86 NP M 49.95 olf_size 8.03206080746877 17.9712661986816 pond
14 2 88 NP F 42.51 olf_size 4.71242364175818 3.53991240258691 pond
14 2 89 NP F 45.32 olf_size 5.87071422487057 5.0799182764027 pond
14 2 90 NP F 38.87 olf_size 5.82654518375476 6.68028070608738 pond
14 2 91 NP F 39.43 olf_size 6.27578632317904 11.9662399322802 pond
14 2 93 NP F 43.57 olf_size 5.44949445061146 18.3652875927883 pond
14 2 94 NP M 43.4 olf_size 5.01784829081385 8.50957991733573 pond
14 2 95 NP M 40.1 olf_size 3.63885657952782 -7.16363756477999 pond
14 2 97 NP F 42.45 olf_size 5.04159148400353 11.0334468627199 pond
14 2 98 NP M 40.7 olf_size 4.07386206276323 10.8605031426717 pond
14 2 99 NP M 42.33 olf_size 5.14148433320035 -1.63404247833477 pond
14 2 100 NP M 46.23 olf_size 6.3788333959447 -1.49624455591398 pond
5 1 53 NP M 33.53 olf_size 4.07150407905237 6.61888444345024 pond
5 1 54 NP F 27.91 olf_size 3.14487704590946 -5.40180509255779 pond
5 1 56 NP M 28.05 olf_size 7.73745331577747 44.3673644027932 pond
5 1 58 NP F 26.94 olf_size 5.50445007234677 11.1970361056278 pond
5 1 61 NP M 37.97 olf_size 4.39537372170426 -6.9941599690461 pond
5 1 64 NP M 26.05 olf_size 4.24138386207858 5.71606714306792 pond
5 1 65 NP M 34.8 olf_size 2.0782402912035 -0.497776003419139 pond
5 1 78 NP F 33.35 olf_size 3.03002291748837 -2.68455279103711 pond
5 1 82 NP F 32.48 olf_size 2.49738799744962 -4.48841992382445 pond
5 1 84 NP F 34.78 olf_size 3.72656789541747 -5.83882524854117 pond
5 1 87 NP F 37.86 olf_size 4.50172228551506 -3.85346955632377 pond
5 1 89 NP F 37.69 olf_size 5.03295377862176 6.00441728387682 pond
5 1 91 NP F 42.89 olf_size 6.88680096580944 10.6689200311225 pond
5 1 93 NP F 34.51 olf_size 3.13658417019286 -8.62641983290507 pond
5 1 94 NP M 34.11 olf_size 3.48483709273553 -2.91606248759085 pond
5 1 95 NP F 35.33 olf_size 3.56883801718279 -4.96212562907496 pond
5 1 97 NP M 39.55 olf_size 2.86113024172347 -4.8713973146824 pond
5 1 98 NP M 39.95 olf_size 5.19027018119332 11.6759399393395 pond
5 1 99 NP M 37.63 olf_size 2.72517756328541 -4.6813103177108 pond
5 1 100 NP M 36.41 olf_size 4.20504969209797 -3.96639905191965 pond
6 6 52 NP M 30.89 olf_size 2.88969128373229 -7.97533457271672 pond
6 6 54 NP F 30.6 olf_size 5.23228141145996 9.94296992092118 pond
6 6 57 NP M 31.22 olf_size 3.7886321953204 -4.17265174189687 pond
6 6 58 NP M 35.13 olf_size 2.34658675592853 -13.425046717473 pond
6 6 64 NP M 44.26 olf_size 3.96658110432232 6.87873663294748 pond
6 6 69 NP F 37.53 olf_size 4.44222914912756 8.07331424821151 pond
6 6 72 NP M 35.74 olf_size 3.29546922767247 3.28437698268534 pond
6 6 73 NP M 36.73 olf_size 4.27940728619208 0.916663783050142 pond
6 6 75 NP F 28.91 olf_size 2.20588131827538 -2.90101115543502 pond
6 6 76 NP F 35.24 olf_size 7.61677636788858 21.508067536589 pond
6 6 77 NP F 42.91 olf_size 6.6723293932675 13.2504724004113 pond
6 6 91 NP F 37.53 olf_size 5.18556655765109 5.25409223080785 pond
6 6 92 NP F 42.89 olf_size 2.51131062746334 6.70915688315454 pond
6 6 94 NP F 42 olf_size 2.48092511164146 -4.62469809038029 pond
6 6 95 NP F 34.06 olf_size 3.10877065041963 -9.92977195394399 pond
6 6 97 NP M 43.39 olf_size 5.23993139889627 4.62857598040494 pond
6 6 98 NP M 35.95 olf_size 3.13365199413713 -2.51129192620228 pond
6 6 99 NP F 39.34 olf_size 4.12246630785551 0.0710406965767169 pond
6 6 100 NP M 39.78 olf_size 4.21002886806262 0.225164553609863 pond
7 6 65 P F 35.27 olf_size 4.90615870643345 2.16591669448155 pond
7 6 66 P M 43.89 olf_size 2.29360807404661 -15.4821004586183 pond
7 6 67 P M 41.6 olf_size 4.26179561752287 9.26899917914436 pond
7 6 68 P M 40.67 olf_size 3.76117362973996 -1.12960256670994 pond
7 6 69 P M 43.51 olf_size 2.95107501454611 1.02888779781107 pond
7 6 70 P M 44.67 olf_size 5.40385232908527 8.14489783100987 pond
7 6 71 P F 36.16 olf_size 2.7469236927663 -2.93675082382283 pond
7 6 74 P M 41.23 olf_size 3.7157003210613 -10.5705913759045 pond
7 6 75 P M 47 olf_size 5.83039629499134 -3.34029039591982 pond
7 6 83 P F 38.06 olf_size 5.90299279675172 0.334114070857012 pond
7 6 84 P F 42.17 olf_size 3.82341839768461 0.0857627522254851 pond
7 6 85 P F 45.45 olf_size 3.65849773333525 5.94170066031499 pond
7 6 93 P F 39.14 olf_size 4.84957185959144 -0.171381796206914 pond
7 6 94 P M 37.67 olf_size 5.40820127387779 -3.52076614536263 pond
7 6 95 P F 40.19 olf_size 4.90081018237751 -6.4391239618891 pond
