pond	cross	id	sex	treatment	scale	olf_l	olf_w	tele_l	tele_w	optic_l	optic_w	cere_l	cere_w	sl	bd
6	6	57	1	NP	23.087	27.459	23.409	71.197	49.98	111.683	94.43	64.327	71.47	31.22	6.51
6	6	58	1	NP	25	25.318	18.439	75.928	47.074	114.739	100.404	65.276	63.953	35.13	7.23
6	6	64	1	NP	24.021	26.019	28	94.191	76.026	154.003	138.014	92.049	97.005	44.26	9.49
6	6	69	0	NP	24	27.074	30.083	99.609	72.443	140.293	122.483	80.399	101.272	37.53	7.06
6	6	72	1	NP	23	23.345	23.77	91.679	62.586	128.456	115.317	80.306	80.062	35.74	7.47
6	6	73	1	NP	24.021	28.071	28	81.302	62.073	128.062	110.223	86.093	78.102	36.73	7.29
6	6	75	0	NP	22.204	17.117	20.224	75	50.16	106.005	101.178	60.407	68.884	28.91	6.07
6	6	76	0	NP	24	36.674	38.079	111.288	94.112	159.201	152.643	97.494	105.323	35.24	7.1
6	6	77	0	NP	24.021	35.014	35	106.301	83.295	158.079	144.679	98.005	101.02	42.91	8.68
6	6	91	0	NP	24.021	34.015	28	91.005	68.007	140.698	121.198	83.024	92.005	37.53	7.42
6	6	92	0	NP	24	20	23.022	99.045	81.222	152.473	128.098	89.022	97.514	42.89	8.22
6	6	94	0	NP	27.019	24	24.021	97.739	79.762	153.222	123.968	91.049	90.089	42	8.61
6	6	95	0	NP	26.019	29.017	23.087	79	58	123.065	101.178	71.344	71.344	34.06	7.02
6	6	97	1	NP	24.021	30.017	32.062	96.876	70.711	155.158	132.136	96.005	87.367	43.39	8.19
6	6	98	1	NP	24.021	25	23.022	68.264	57.079	129.035	109.225	79.158	75.538	35.95	7.03
6	6	99	0	NP	24	28.071	26.926	102.24	74.431	140.228	124.68	76.164	91.137	39.34	7.7
6	6	100	1	NP	24.021	28.16	27.459	84.853	67.268	145.671	120.814	83.546	84.345	39.78	7.61
7	6	65	0	P	24	31	29.017	78.058	62.008	122.102	97.417	82.006	82.024	35.27	6.86
7	6	66	1	P	24	21	20.025	87.023	50.01	139.703	106.231	67.007	71.028	43.89	8.9
7	6	67	1	P	24.021	30.017	26.077	90.2	67.476	156.16	137.186	92.049	97.514	41.6	8.54
7	6	68	1	P	24	31.575	21.84	83.199	56.648	137.612	117.201	83.361	82.976	40.67	8.29
7	6	69	1	P	25	25.08	23.409	103.325	75.69	148.476	125.172	93.215	89.989	43.51	8.52
7	6	70	1	P	24.021	32	31.016	103.019	71.007	156.205	132.136	98.02	94.085	44.67	9.81
7	6	71	0	P	25	23.345	23.409	91.679	64.846	138.246	113.547	84.012	76.485	36.16	7.09
7	6	74	1	P	28.018	32.016	29	81.302	63.127	141.004	123.329	78.026	92.022	41.23	7.92
7	6	75	1	P	26	38	33.015	101.316	75.166	154.117	130.311	98.127	89.022	47	9.55
7	6	83	0	P	24	32.558	33.242	84.404	62.968	134.618	117.324	88.142	77.162	38.06	7.45
7	6	84	0	P	24	25.02	28.018	99.02	71.028	155.013	125	80.006	92	42.17	8.37
7	6	85	0	P	25.02	27	27	110.005	79.006	164.149	145.169	95.005	102.005	45.45	9.07
7	6	93	0	P	24	31.575	28.16	87.476	63.891	140.812	121.565	84.012	81.744	39.14	7.9
7	6	94	1	P	23	35	26.019	75.027	58.034	120.017	114.004	72	77.006	37.67	7.24
7	6	95	0	P	26	34	31.016	83.006	67.119	131.015	119.004	84.054	82	40.19	7.85
7	6	96	0	P	24.021	30.067	27.459	104.69	70.114	155.425	128.32	97.329	99.247	43.85	9.27
7	6	97	0	P	25.02	34.059	24.739	86.885	62.37	125.936	113.952	84.172	82.565	38.84	7.47
7	6	98	0	P	25	31.575	24.083	82.006	67.007	137.033	125.1	87.052	84.006	39.64	7.93
7	6	99	1	P	24	31.016	32.016	98.615	77.414	169.358	133.004	98.509	99.504	51.05	10.19
8	4	51	1	NP	27.019	26.476	24.698	66.219	44.911	112.361	92.612	74.953	70.88	30.37	5.6
8	4	52	1	NP	26.019	32	31.064	93.134	63.071	129.314	125.196	88	81.025	36.1	6.56
8	4	58	1	NP	25.02	39.205	26.926	73.824	57.489	127.318	114.425	78.16	77.414	37.42	7.8
8	4	63	1	NP	24.021	31.145	25	75.06	56.009	123.004	102.02	65.031	67.03	35.71	6.43
8	4	64	0	NP	23	33.015	24.739	77.162	51.624	109.005	102.176	67.03	62.201	32.1	5.64
8	4	66	1	NP	25.02	27	27.074	75.007	54.745	117.614	110.164	80.225	77.162	32.58	6.14
8	4	69	0	NP	29.017	42.953	32.894	95.079	67.897	141.014	133.645	92.779	97.082	37.47	7.3
8	4	73	1	NP	27	33.106	33.838	101.237	67.231	147.719	137.884	96.385	101.951	41.37	7.95
8	4	74	0	NP	28	25.08	21	73.062	51.039	117.017	96.005	64	67.067	31.37	5.88
8	4	75	0	NP	25.02	28.16	28.018	85.094	54.083	123.037	107.019	70.029	72.028	32.02	6.36
8	4	83	0	NP	26.019	26.077	25.02	101	76.007	157	139.176	93.005	101.4	40.91	7.62
8	4	84	0	NP	23.022	30.414	28.16	86.145	64.133	132.639	119.821	79.511	77.782	35.25	7.45
8	4	86	0	NP	23	36.014	28.018	99.005	72.062	153.013	139.032	90.089	88.091	37.69	7.33
8	4	87	0	NP	26	38.053	33.061	102.005	78	153.16	135.237	106.005	93.022	40.69	7.51
8	4	90	0	NP	25.02	34	32.14	110.368	79.025	164.195	136.62	98.326	103.392	40.23	7.7
8	4	91	1	NP	26.077	39.051	35.511	102.489	76.105	164.076	141.227	98.005	91.137	43.72	8.75
8	4	92	1	NP	25.02	33	28.284	101.02	71	151.053	130.096	86.006	97.252	39.09	7.34
8	4	93	0	NP	24.083	37.054	34.234	103.484	73.553	149.753	125.603	87.092	98.326	37.65	6.92
8	4	96	1	NP	26.019	31.401	30.15	100.319	67.897	149.121	128.004	93.536	91.411	40.04	7.44
8	4	97	0	NP	25.02	39.013	31.064	101.4	71.344	156.32	131.643	88.814	92.914	40.54	7.89
8	4	98	1	NP	25	40.012	32.558	97.622	66.91	148.57	129.553	86.209	82.873	37.59	7.52
9	7	51	0	NP	26.019	27.019	25.02	86	58.034	119.004	104.077	81.006	73	34.14	6.82
9	7	52	1	NP	26.019	33.377	31.575	83.054	62.29	131.548	112.446	85.376	78.16	38.05	7.27
9	7	55	1	NP	25	32.388	24.698	83.024	57.697	135.37	117.835	77.006	75.166	34.64	6.68
9	7	57	1	NP	25	31.257	29	79.057	52.01	126.254	107.117	70.114	72.007	32.8	6.88
9	7	76	1	NP	25.02	34.015	27.019	83.024	62.008	126.004	107.117	82.152	74.061	36.2	7.35
9	7	77	0	NP	25.02	35.228	27.074	85.053	66.483	136.092	112.04	82.608	81.099	37.27	7.32
9	7	78	0	NP	28.16	36.497	34.713	112.792	91.761	167.863	140.161	115.572	102.108	52.4	10.38
9	7	79	1	NP	25.02	22.561	22.023	93.744	80.808	142.144	119.854	91.444	90.094	48	9.12
9	7	80	1	NP	28	30.265	24.021	92	81.025	154.052	133.304	88.091	96.083	50.79	10.02
9	7	83	1	NP	24	34.713	30.806	88.074	71.868	147.221	126.242	93.408	84.202	41.34	8.52
9	7	87	0	NP	24	28.071	30.414	106.212	91.984	165.979	141.905	110.114	99.725	54.05	11.37
9	7	88	1	NP	25.02	28.018	32.062	90.139	74.33	155.116	135.532	90.2	87.023	44.51	8.9
9	7	89	1	NP	26	27.166	26.926	94.895	82.098	147.503	123.911	100	86	47.66	10.01
9	7	91	0	NP	27.019	23.087	25.02	100.404	83.487	151.119	139.09	93.193	96.005	48.17	10.28
9	7	92	0	NP	25	38.328	39.294	118.849	95.273	181.604	161.756	114.18	110.136	60.53	13.18
9	7	94	0	NP	24	25	24	106.019	86.145	163.003	151.003	98.25	107.117	51.8	11.4
9	7	95	0	NP	27.019	43.186	32.14	122.188	95.258	162.117	144.779	115.261	108.167	55.24	11.47
9	7	96	0	NP	27.019	26.306	27.019	105.233	88.091	166.244	137.713	95.005	95.131	50.54	10.81
9	7	98	0	NP	25.02	26.476	23.409	85.376	61.033	134.807	119.942	75.313	74.813	35.26	7.18
9	7	100	1	NP	24.021	27	23.345	89.022	48.042	128.004	92.763	84.149	73.98	37.05	7.09
