pond cross id treatment sex sl bd region size
8 4 52 NP M 36.1 6.56 olf_size 4.61292109882466
8 4 58 NP M 37.42 7.8 olf_size 5.29771464236901
8 4 63 NP M 35.71 6.43 olf_size 4.23931853693862
8 4 64 NP F 32.1 5.64 olf_size 4.85051266464285
8 4 66 NP M 32.58 6.14 olf_size 3.66852472712291
8 4 69 NP F 37.47 7.3 olf_size 5.27175287213939
8 4 73 NP M 41.37 7.95 olf_size 4.82762737379444
8 4 74 NP F 31.37 5.88 olf_size 2.11047706478657
8 4 75 NP F 32.02 6.36 olf_size 3.95954281496742
8 4 83 NP F 40.91 7.62 olf_size 3.0277053122396
8 4 84 NP F 35.25 7.45 olf_size 5.07656516802054
8 4 86 NP F 37.69 7.33 olf_size 5.99242616797655
8 4 87 NP F 40.69 7.51 olf_size 5.84666302025562
8 4 90 NP F 40.23 7.7 olf_size 5.48403289860004
8 4 91 NP M 43.72 8.75 olf_size 6.40663055388455
8 4 92 NP M 39.09 7.34 olf_size 4.68414176455225
8 4 93 NP F 37.65 6.92 olf_size 6.87102367342102
8 4 96 NP M 40.04 7.44 olf_size 4.39338705277756
8 4 97 NP F 40.54 7.89 olf_size 6.08193798134619
8 4 98 NP M 37.59 7.52 olf_size 6.54813816369031
9 7 51 NP F 34.14 6.82 olf_size 3.13707749478091
9 7 52 NP M 38.05 7.27 olf_size 4.89056829931853
9 7 55 NP M 34.64 6.68 olf_size 4.02083056151454
9 7 57 NP M 32.8 6.88 olf_size 4.55632973699909
9 7 76 NP M 36.2 7.35 olf_size 4.61227303565343
9 7 77 NP F 37.27 7.32 olf_size 4.78647366989207
9 7 78 NP F 52.4 10.38 olf_size 5.01919290690894
9 7 79 NP M 48 9.12 olf_size 2.49350409795392
9 7 80 NP M 50.79 10.02 olf_size 2.91316827320964
9 7 83 NP M 41.34 8.52 olf_size 5.8325013589997
9 7 87 NP F 54.05 11.37 olf_size 4.6564915058723
9 7 88 NP M 44.51 8.9 olf_size 4.50819821496752
